id,question,expected_answerable,category,technology,expected_source,gold_evidence,label_reason
Q001,Who shares responsibility for the sustainability of cloud workloads?,true,azure_answerable,Microsoft Azure,markdown\well-architected__sustainability__overview.md,Sustainability for workloads in the cloud is a shared responsibility between the cloud provider and the organization.,Une source et une preuve de référence existent dans le corpus.
Q002,How much less carbon efficient can on-premises workloads be compared with Azure workloads?,true,azure_answerable,Microsoft Azure,markdown\well-architected__sustainability__overview.md,"running it on-premises, which can be between 50-98% less carbon efficient",Une source et une preuve de référence existent dans le corpus.
Q003,How do architecture decisions influence the sustainability of an Azure workload?,true,azure_answerable,Microsoft Azure,markdown\well-architected__sustainability__overview.md,your design decisions directly shape how efficiently a workload uses cloud resources,Une source et une preuve de référence existent dans le corpus.
Q004,What is a sustainable cloud workload?,true,azure_answerable,Microsoft Azure,markdown\well-architected__sustainability__overview.md,"A sustainable workload is designed to minimize unnecessary resource consumption while still meeting business, reliability, security, and performance requirements.",Une source et une preuve de référence existent dans le corpus.
Q005,Which infrastructure practices can improve both cost optimization and sustainability?,true,azure_answerable,Microsoft Azure,markdown\well-architected__sustainability__overview.md,"Right-sizing infrastructure, using autoscaling effectively, and eliminating idle or redundant resources",Une source et une preuve de référence existent dans le corpus.
Q006,What type of analytics platform is Azure Databricks?,true,azure_answerable,Microsoft Azure,markdown\well-architected__service-guides__azure-databricks.md,Azure Databricks is an Apache Spark-based analytics platform,Une source et une preuve de référence existent dans le corpus.
Q007,What types of workloads can teams build with Azure Databricks?,true,azure_answerable,Microsoft Azure,markdown\well-architected__service-guides__azure-databricks.md,"build and deploy data engineering, machine learning, and analytics workloads at scale",Une source et une preuve de référence existent dans le corpus.
Q008,Which Azure technologies are included in the scope of the Azure Databricks architecture review?,true,azure_answerable,Microsoft Azure,markdown\well-architected__service-guides__azure-databricks.md,"Azure Databricks

Spark

Delta Lake

Unity Catalog

MLflow",Une source et une preuve de référence existent dans le corpus.
Q009,What is the purpose of the Reliability pillar?,true,azure_answerable,Microsoft Azure,markdown\well-architected__service-guides__azure-databricks.md,The purpose of the Reliability pillar is to provide continued functionality by building enough resilience and the ability to recover fast from failures,Une source et une preuve de référence existent dans le corpus.
Q010,How should Azure Databricks job execution failures be handled?,true,azure_answerable,Microsoft Azure,markdown\well-architected__service-guides__azure-databricks.md,Implement retry policies with exponential backoff. Use Azure Databricks job orchestration with error handling. Set up appropriate timeout settings.,Une source et une preuve de référence existent dans le corpus.
Q011,What is a cost model in the Azure Well-Architected Framework?,true,azure_answerable,Microsoft Azure,markdown\well-architected__cost-optimization__cost-model.md,A cost model is an estimate that predicts the combined costs of services and their associated expenses.,Une source et une preuve de référence existent dans le corpus.
Q012,Which events can interrupt long-running HPC jobs?,true,azure_answerable,Microsoft Azure,markdown\well-architected__hpc__hpc-design-principles.md,"Long-running HPC jobs are vulnerable to infrastructure failures, spot evictions, and maintenance events.",Une source et une preuve de référence existent dans le corpus.
Q013,What kinds of resources are included in the Azure Architecture Center?,true,azure_answerable,Microsoft Azure,html\en-us-azure-architecture-777fa9b92470.html,"Azure Architecture Center is a catalog of solution ideas, example workloads, reference architectures, technology decision guides, and architecture guides for Azure workloads.",Une source et une preuve de référence existent dans le corpus.
Q014,What does the Azure Architecture Center help architects explore when building Azure workloads?,true,azure_answerable,Microsoft Azure,html\en-us-azure-architecture-777fa9b92470.html,Explore best practices and patterns for building workloads on Microsoft Azure.,Une source et une preuve de référence existent dans le corpus.
Q015,What capabilities does Microsoft Foundry provide for generative AI development?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_ai-ml.html,"Microsoft Foundry provides access to a model catalog, agent hosting through Foundry Agent Service, fine-tuning, evaluation tools, and responsible AI capabilities.",Une source et une preuve de référence existent dans le corpus.
Q016,Which open-source frameworks are supported by Azure Machine Learning?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_ai-ml.html,"Azure Machine Learning supports open-source frameworks like PyTorch, TensorFlow, and scikit-learn.",Une source et une preuve de référence existent dans le corpus.
Q017,What type of platform is Microsoft Copilot Studio?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_ai-ml.html,"A low-code platform for building, customizing, and deploying AI-powered agents.",Une source et une preuve de référence existent dans le corpus.
Q018,Which factors should be considered when choosing a database for an Azure workload?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_data-guide.html,"The right database for your scenario depends on your data model, consistency requirements, query patterns, and operational preferences.",Une source et une preuve de référence existent dans le corpus.
Q019,Which database deployment models are included in the Azure database portfolio?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_data-guide.html,"The Azure database portfolio spans fully managed platform as a service (PaaS) offerings, infrastructure as a service (IaaS) options, and specialized services for specific workload patterns.",Une source et une preuve de référence existent dans le corpus.
Q020,Why can Azure cloud design patterns be used outside Azure?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_patterns.html,"The following cloud design patterns are technology-agnostic, which makes them suitable for any distributed system.",Une source et une preuve de référence existent dans le corpus.
Q021,What should guide the selection of a cloud design pattern?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_patterns.html,"Choose a pattern based on the problem you need to solve, not the technology you want to use.",Une source et une preuve de référence existent dans le corpus.
Q022,What information can users find when browsing Azure architectures?,true,azure_answerable,Microsoft Azure,html\en-us_azure_architecture_browse.html,"Find architecture diagrams and technology descriptions for reference architectures, real world examples of cloud architectures, and solution ideas for common workloads on Azure.",Une source et une preuve de référence existent dans le corpus.
Q023,Does cloud adoption require an organization to move all applications out of its local datacenter?,true,azure_answerable,Microsoft Azure,pdf\enterprise_cloud_strategy.pdf,"the cloud is not an “either/or” proposition. It is certainly possible, and indeed in many cases desirable, to leave some applications running in a local, traditional datacenter while others are moved to the cloud.",Une source et une preuve de référence existent dans le corpus.
Q024,What are the five modernization approaches described in Enterprise Cloud Strategy?,true,azure_answerable,Microsoft Azure,pdf\enterprise_cloud_strategy.pdf,"the most convenient way to think about modernization, which is commonly called “the five R’s”",Une source et une preuve de référence existent dans le corpus.
Q025,What does rehosting a legacy application involve?,true,azure_answerable,Microsoft Azure,pdf\enterprise_cloud_strategy.pdf,"Rehosting involves keeping the same basic functionality, but moving it to the cloud where it is easier to manage and less expensive to run.",Une source et une preuve de référence existent dans le corpus.
Q026,What initial responsibility was assigned to the Cloud Strategy Team?,true,azure_answerable,Microsoft Azure,pdf\enterprise_cloud_strategy.pdf,The Cloud Strategy Team was chartered to lead the cloud analysis and experimentation phase previously described (see Figure 5-2).,Une source et une preuve de référence existent dans le corpus.
Q027,What type of storage service is Azure Table Storage?,true,azure_answerable,Microsoft Azure,pdf\azure_serverless_computing_cookbook.pdf,"Azure Table storage, a NoSQL key-value persistent medium for storing semi-structured data.",Une source et une preuve de référence existent dans le corpus.
Q028,How does a SendGrid output binding authenticate when sending emails?,true,azure_answerable,Microsoft Azure,pdf\azure_serverless_computing_cookbook.pdf,The SendGrid output (message) bindings will use the API key provided in the App settings to invoke the required APIs of the SendGrid library in order to send the emails.,Une source et une preuve de référence existent dans le corpus.
Q029,What kind of Azure service is Azure Data Factory?,true,azure_answerable,Microsoft Azure,pdf\azure_serverless_computing_cookbook.pdf,Azure Data Factory is another cloud-native serverless solution from Microsoft Azure.,Une source et une preuve de référence existent dans le corpus.
Q030,Why can precompiled Azure Functions provide better performance?,true,azure_answerable,Microsoft Azure,pdf\azure_serverless_computing_cookbook.pdf,"Precompiled functions have better performance, as they aren't required to be compiled on the fly.",Une source et une preuve de référence existent dans le corpus.
T001,How do I configure a VLAN on a Cisco IOS switch?,false,technical_networking,Cisco IOS,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T002,How do I configure OSPF routing on Juniper JunOS?,false,technical_networking,Juniper JunOS,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T003,How do I create a firewall rule in MikroTik RouterOS?,false,technical_networking,MikroTik RouterOS,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T004,How do I configure an IPsec VPN on a FortiGate firewall?,false,technical_network_security,FortiGate,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
T005,How do I configure a site-to-site VPN with pfSense?,false,technical_network_security,pfSense,,,La technologie a été recherchée dans les 1 478 chunks et aucune occurrence n'a été trouvée.
