question_id,category,question,expected_answerable,predicted_answerable,prediction_correct,accepted,answer,confidence_score,top1_reranker_score,reranker_margin,top1_cosine_similarity,top1_rrf_score,supporting_results_count,failed_rules,provider,model_name,llm_called,llm_attempts,llm_success,citations_valid,citation_count,citations,input_tokens,output_tokens,total_tokens,retrieval_time_ms,confidence_time_ms,generation_time_ms,citation_validation_time_ms,total_time_ms,source_count,top_source,top_chunk_id,refusal_reason,error_type,error_message
RAG001,azure_simple,Who shares responsibility for the sustainability of cloud workloads?,True,True,True,True,Sustainability for workloads in the cloud is a shared responsibility between the cloud provider and the organization. [well-architected__sustainability__overview.md:fixed__1024__well-architected__sustainability__overview__md__chunk_0],0.981162,0.981162,0.645254,0.883201,0.03252247,1,,huggingface,google/gemma-2-2b-it,True,1,True,True,1,[well-architected__sustainability__overview.md:fixed__1024__well-architected__sustainability__overview.md__chunk_0],1143,54,1197,25665.0358,0.5288,9689.7942,1.4134,35357.6387,3,well-architected__sustainability__overview.md,fixed__1024__well-architected__sustainability__overview.md__chunk_0,,,
RAG002,azure_simple,What is a sustainable workload on Azure?,True,True,True,True,"A sustainable workload is designed to minimize unnecessary resource consumption while still meeting business, reliability, security, and performance requirements. 
[well-architected__sustainability__overview.md:fixed__1024__well-architected__sustainability__overview.md__chunk_1]",0.999371,0.999371,0.03057,0.937655,0.03252247,3,,huggingface,google/gemma-2-2b-it,True,1,True,True,1,[well-architected__sustainability__overview.md:fixed__1024__well-architected__sustainability__overview.md__chunk_1],1117,61,1178,9015.4678,0.2008,6568.578,0.2611,15584.6275,3,well-architected__sustainability__overview.md,fixed__1024__well-architected__sustainability__overview.md__chunk_0,,,
RAG003,azure_simple,How can unnecessary resource consumption be reduced in an Azure workload?,True,True,True,True,"To reduce unnecessary resource consumption in an Azure workload, analyze historical trends and future demands, and use appropriate configurations for each workload. Optimize cluster utilization. Save costs in development and test environments by using scaled down configurations. Encourage cluster sharing among teams to avoid using unnecessary resources. Enforce automatic termination policies to deprovision idle clusters. [well-architected__service-guides__azure-databricks.md:fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_43] .  To minimize cost, approach cost optimization",0.945194,0.945194,0.379637,0.864922,0.015625,3,,huggingface,google/gemma-2-2b-it,True,1,True,True,1,[well-architected__service-guides__azure-databricks.md:fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_43],1192,120,1312,7043.9169,0.1123,5046.0013,0.1411,12090.3418,3,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_43,,,
RAG004,azure_complex,"How are sustainability, reliability, security, and performance related in Azure workloads?",True,False,False,False,I don't know based on the available internal documents.,0.997391,0.997391,0.110479,0.895604,0.03226646,5,,huggingface,google/gemma-2-2b-it,True,1,True,False,0,,1261,113,1374,6697.4694,0.0873,3642.9103,0.0457,10340.5951,3,well-architected__sustainability__overview.md,fixed__1024__well-architected__sustainability__overview.md__chunk_0,Citation validation failed: La réponse ne contient aucune citation.,,
RAG005,azure_complex,Which Azure services can help organizations understand and reduce carbon emissions?,True,True,True,True,"Azure Carbon Optimization service can show the precalculated equivalent carbon emissions for all subscriptions and resources, and workload-specific suggestions on how to reduce emissions [well-architected__sustainability__overview.md:fixed__1024__well-architected__sustainability__overview.md__chunk_11]. Emissions Impact Dashboard for Azure is a Power BI solution that helps Azure customers calculate and track cloud-related carbon emissions [en-us_azure_architecture_ai-ml.html:fixed__1024__en-us_azure_architecture_ai-ml.html",0.968292,0.968292,0.440446,0.903437,0.03278689,2,,huggingface,google/gemma-2-2b-it,True,1,True,True,1,[well-architected__sustainability__overview.md:fixed__1024__well-architected__sustainability__overview.md__chunk_11],1222,120,1342,7733.2698,0.1537,3662.4106,0.2031,11396.158,3,well-architected__sustainability__overview.md,fixed__1024__well-architected__sustainability__overview.md__chunk_11,,,
RAG006,technical_out_of_corpus,How do I configure Cisco IOS BGP route reflection?,False,False,True,False,I don't know based on the available internal documents.,0.024798,0.024798,0.011021,0.800789,0.01538462,0,top1_score,,,False,0,False,,0,,,,,7096.8713,0.0804,0.0,0.0,7096.9875,3,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_370__chunk_1,Confidence Gate rejection: top1_score,,
RAG007,technical_out_of_corpus,How do I configure a VMware ESXi high-availability cluster?,False,False,True,False,I don't know based on the available internal documents.,0.930896,0.930896,0.392387,0.835461,0.03009207,2,,huggingface,google/gemma-2-2b-it,True,1,True,False,0,,1195,14,1209,7677.3259,0.1069,1725.874,1.65,9405.0475,3,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_85,Citation validation failed: La réponse ne contient aucune citation.,,
RAG008,technical_out_of_corpus,How do I create a Jenkins declarative pipeline?,False,False,True,False,I don't know based on the available internal documents.,0.003336,0.003336,0.000516,0.817076,0.02736499,0,top1_score,,,False,0,False,,0,,,,,5476.3563,0.1241,0.0,0.0,5476.5411,3,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_15,Confidence Gate rejection: top1_score,,
RAG009,general_out_of_domain,Who won the FIFA World Cup in 2022?,False,False,True,False,I don't know based on the available internal documents.,0.000406,0.000406,0.000166,0.697458,0.02614053,0,top1_score,,,False,0,False,,0,,,,,6247.8255,0.0894,0.0,0.0,6247.9643,3,enterprise_cloud_strategy.pdf,fixed__1024__enterprise_cloud_strategy.pdf__page_19__chunk_2,Confidence Gate rejection: top1_score,,
RAG010,general_out_of_domain,How do I prepare homemade lasagna?,False,False,True,False,I don't know based on the available internal documents.,0.014396,0.014396,0.011334,0.786716,0.01612903,0,top1_score,,,False,0,False,,0,,,,,4824.1058,0.0756,0.0,0.0,4824.2256,3,azure_serverless_computing_cookbook.pdf,fixed__1024__azure_serverless_computing_cookbook.pdf__page_20__chunk_0,Confidence Gate rejection: top1_score,,
