technology_key,technology,category,aliases_checked,present_in_corpus,matching_chunks,matched_aliases,example_sources
cisco_ios,Cisco IOS,networking,Cisco IOS | IOS XE | Cisco Internetwork Operating System,False,0,,
juniper_junos,Juniper JunOS,networking,Juniper JunOS | JunOS | Junos OS,False,0,,
mikrotik_routeros,MikroTik RouterOS,networking,MikroTik | RouterOS,False,0,,
fortigate,FortiGate,network_security,FortiGate | Fortinet FortiGate | FortiOS,False,0,,
pfsense,pfSense,network_security,pfSense,False,0,,
vmware_esxi,VMware ESXi,virtualization,VMware ESXi | ESXi,False,0,,
vmware_vcenter,VMware vCenter,virtualization,VMware vCenter | vCenter Server | vCenter,False,0,,
proxmox_ve,Proxmox VE,virtualization,Proxmox VE | Proxmox Virtual Environment | Proxmox,False,0,,
xenserver,XenServer,virtualization,XenServer | Citrix Hypervisor,False,0,,
hyper_v_replica,Hyper-V Replica,virtualization,Hyper-V Replica | Hyper V Replica,False,0,,
jenkins,Jenkins,devops,Jenkins | Jenkins Pipeline,False,0,,
gitlab_cicd,GitLab CI/CD,devops,GitLab CI/CD | GitLab CI | GitLab Pipeline,False,0,,
teamcity,TeamCity,devops,TeamCity,False,0,,
bamboo,Atlassian Bamboo,devops,Atlassian Bamboo | Bamboo CI,False,0,,
argocd,Argo CD,devops,Argo CD | ArgoCD,False,0,,
mariadb_galera,MariaDB Galera Cluster,database,MariaDB Galera | Galera Cluster,False,0,,
ibm_db2,IBM Db2,database,IBM Db2 | IBM DB2 | DB2 Database,False,0,,
postgresql_streaming_replication,PostgreSQL Streaming Replication,database,PostgreSQL Streaming Replication | Postgres Streaming Replication,False,0,,
red_hat_satellite,Red Hat Satellite,system_administration,Red Hat Satellite | Satellite Server,False,0,,
ansible_tower,Ansible Tower,automation,Ansible Tower | Automation Controller,False,0,,
puppet_enterprise,Puppet Enterprise,automation,Puppet Enterprise,False,0,,
chef_infra,Chef Infra,automation,Chef Infra | Chef Server,False,0,,
openshift,Red Hat OpenShift,containers,OpenShift | Red Hat OpenShift,False,0,,
rancher,Rancher,containers,Rancher | Rancher Kubernetes Engine | RKE2,False,0,,
hashicorp_nomad,HashiCorp Nomad,containers,HashiCorp Nomad | Nomad Cluster,False,0,,
podman,Podman,containers,Podman,False,0,,
zabbix,Zabbix,monitoring,Zabbix,False,0,,
nagios,Nagios,monitoring,Nagios | Nagios Core,False,0,,
solarwinds,SolarWinds,monitoring,SolarWinds | SolarWinds Orion,False,0,,
graylog,Graylog,logging,Graylog,False,0,,
splunk_enterprise,Splunk Enterprise,logging,Splunk Enterprise | Splunk Indexer,False,0,,
