id,question,answer,expected_source,gold_evidence,expected_source_canonical,format,source_exists,evidence_exists
Q001,Who shares responsibility for the sustainability of cloud workloads?,The responsibility is shared between the cloud provider and the organization.,markdown\well-architected__sustainability__overview.md,Sustainability for workloads in the cloud is a shared responsibility between the cloud provider and the organization.,well-architected__sustainability__overview.md,markdown,True,True
Q002,How much less carbon efficient can on-premises workloads be compared with Azure workloads?,On-premises workloads can be between 50% and 98% less carbon efficient.,markdown\well-architected__sustainability__overview.md,"running it on-premises, which can be between 50-98% less carbon efficient",well-architected__sustainability__overview.md,markdown,True,True
Q003,How do architecture decisions influence the sustainability of an Azure workload?,Architecture decisions determine how efficiently the workload uses cloud resources.,markdown\well-architected__sustainability__overview.md,your design decisions directly shape how efficiently a workload uses cloud resources,well-architected__sustainability__overview.md,markdown,True,True
Q004,What is a sustainable cloud workload?,"It is a workload designed to minimize unnecessary resource consumption while meeting business, reliability, security, and performance requirements.",markdown\well-architected__sustainability__overview.md,"A sustainable workload is designed to minimize unnecessary resource consumption while still meeting business, reliability, security, and performance requirements.",well-architected__sustainability__overview.md,markdown,True,True
Q005,Which infrastructure practices can improve both cost optimization and sustainability?,"Right-sizing infrastructure, using autoscaling effectively, and removing idle or redundant resources.",markdown\well-architected__sustainability__overview.md,"Right-sizing infrastructure, using autoscaling effectively, and eliminating idle or redundant resources",well-architected__sustainability__overview.md,markdown,True,True
Q006,What type of analytics platform is Azure Databricks?,Azure Databricks is an Apache Spark-based analytics platform.,markdown\well-architected__service-guides__azure-databricks.md,Azure Databricks is an Apache Spark-based analytics platform,well-architected__service-guides__azure-databricks.md,markdown,True,True
Q007,What types of workloads can teams build with Azure Databricks?,"Teams can build data engineering, machine learning, and analytics workloads.",markdown\well-architected__service-guides__azure-databricks.md,"build and deploy data engineering, machine learning, and analytics workloads at scale",well-architected__service-guides__azure-databricks.md,markdown,True,True
Q008,Which Azure technologies are included in the scope of the Azure Databricks architecture review?,"Azure Databricks, Spark, Delta Lake, Unity Catalog, and MLflow.",markdown\well-architected__service-guides__azure-databricks.md,"Azure Databricks

Spark

Delta Lake

Unity Catalog

MLflow",well-architected__service-guides__azure-databricks.md,markdown,True,True
Q009,What is the purpose of the Reliability pillar?,Its purpose is to provide continued functionality by building resilience and enabling fast recovery from failures.,markdown\well-architected__service-guides__azure-databricks.md,The purpose of the Reliability pillar is to provide continued functionality by building enough resilience and the ability to recover fast from failures,well-architected__service-guides__azure-databricks.md,markdown,True,True
Q010,How should Azure Databricks job execution failures be handled?,"They should be handled with retry policies using exponential backoff, error handling, and appropriate timeout settings.",markdown\well-architected__service-guides__azure-databricks.md,Implement retry policies with exponential backoff. Use Azure Databricks job orchestration with error handling. Set up appropriate timeout settings.,well-architected__service-guides__azure-databricks.md,markdown,True,True
Q011,What is a cost model in the Azure Well-Architected Framework?,A cost model is an estimate that predicts the combined costs of services and their associated expenses.,markdown\well-architected__cost-optimization__cost-model.md,A cost model is an estimate that predicts the combined costs of services and their associated expenses.,well-architected__cost-optimization__cost-model.md,markdown,True,True
Q012,Which events can interrupt long-running HPC jobs?,"Long-running HPC jobs can be interrupted by infrastructure failures, spot evictions, and maintenance events.",markdown\well-architected__hpc__hpc-design-principles.md,"Long-running HPC jobs are vulnerable to infrastructure failures, spot evictions, and maintenance events.",well-architected__hpc__hpc-design-principles.md,markdown,True,True
Q013,What kinds of resources are included in the Azure Architecture Center?,"It includes solution ideas, example workloads, reference architectures, technology decision guides, and architecture guides.",html\en-us-azure-architecture-777fa9b92470.html,"Azure Architecture Center is a catalog of solution ideas, example workloads, reference architectures, technology decision guides, and architecture guides for Azure workloads.",en-us-azure-architecture-777fa9b92470.html,html,True,True
Q014,What does the Azure Architecture Center help architects explore when building Azure workloads?,It helps architects explore best practices and patterns for building workloads on Microsoft Azure.,html\en-us-azure-architecture-777fa9b92470.html,Explore best practices and patterns for building workloads on Microsoft Azure.,en-us-azure-architecture-777fa9b92470.html,html,True,True
